name|type|description|prerequisites|prerequisite_feats|benefit|normal|special|source|teamwork|critical|grit|style|performance|racial|companion_familiar|race_name|note|goal|completion_benefit|multiples|suggested_traits
Improved Eldritch Heritage|General|The power of your discovered bloodline continues to grow.|Cha 15, Eldritch Heritage, character level 11th.|Eldritch Heritage|You gain either the 3rd-level or the 9th-level power (your choice) of the bloodline you selected with the Eldritch Heritage feat. For purposes of using that power, treat your sorcerer level as equal to your character level - 2, even if you have levels in sorcerer. You do not gain any of the other bloodline abilities.||You may select this feat multiple times. Its effects do not stack. Each time you select the feat, it applies to a different bloodline power for that bloodline available at sorcerer level 3 or 9.|Ultimate Magic|0|0|0|0|0|0|0|||||1|
Improved Familiar|General|This feat allows you to acquire a powerful familiar, but only when you could normally acquire a new familiar.|Ability to acquire a new familiar, compatible alignment, sufficiently high level (see below).||When choosing a familiar, the creatures listed below are also available to you (see the Pathfinder RPG Bestiary for statistics on these creatures). You may choose a familiar with an alignment up to one step away on each alignment axis (lawful through chaotic, good through evil). Arcane Spellcaster Familiar Alignment Level Celestial hawk1 Neutral good 3rd Dire rat Neutral 3rd Fiendish viper2 Neutral evil 3rd Elemental, Small (any type) Neutral 5th Stirge Neutral 5th Homunculus3 Any 7th Imp Lawful evil 7th Mephit (any type) Neutral 7th Pseudodragon Neutral good 7th Quasit Chaotic evil 7th 1 Or other celestial animal from the standard familiar list. 2 Or other fiendish animal from the standard familiar list. 3 The master must first create the homunculus. Improved familiars otherwise use the rules for regular familiars, with two exceptions: if the creature's type is something other than animal, its type does not change; and improved familiars do not gain the ability to speak with other creatures of their kind (although many of them already have the ability to communicate).|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Improved Familiar|Mythic|Your familiar gains some of your incredible resiliency and insight.|Improved Familiar.|Improved Familiar|For every 3 tiers you possess, your familiar gains a +2 bonus to an ability score of your choice. These bonuses stack. Your familiar adds your tier to its natural armor bonus and to its spell resistance (if it has spell resistance).|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Improved Feint|Combat|You are skilled at fooling your opponents in combat.|Int 13, Combat Expertise.|Combat Expertise|You can make a Bluff check to feint in combat as a move action.|Feinting in combat is a standard action.||PFRPG Core|0|0|0|0|0|0|0|||||0|
Improved Feint Partner|Combat|Knowledge of your companions' tricks and techniques allow you to take even greater advantage of your allies' feints.|Bluff 1 rank, Combat Reflexes, Feint Partner, base attack bonus +6.|Combat Reflexes, Feint Partner|Whenever an ally who also has this feat successfully feints against an opponent, that opponent provokes an attack of opportunity from you.|||Ultimate Combat|1|0|0|0|0|0|0|||||0|
Improved Feinting Flurry|Combat|Your first melee attack throws your opponent completely off guard.|Dex 17, flurry of blows class feature, Combat Expertise, Feinting Flurry, base attack bonus +6.|Combat Expertise, Feinting Flurry|While using Feinting Flurry, if you successfully feint, your opponent is denied its Dexterity bonus to AC until the end of your turn.|A successful feint causes your opponent to be denied its Dexterity bonus to AC against your next attack.||Dragon Empires Primer|0|0|0|0|0|0|0|||||0|
Improved Fiendish Darkness|General|Your innate ability to shroud others in darkness is further empowered.|Fiendish Darkness, darkness spell-like ability, caster level 3rd, tiefling.|Fiendish Darknes|You gain a +2 bonus to your effective caster level when using your darkness spell-like ability. In addition, whenever you cast a spell with the evil descriptor that targets another creature, you can spend a swift action to apply the effects of your darkness spell-like ability to the spell cast, with the darkness effect centered on the spell's target. Using the darkness spell-like ability in this way expends all three uses of it for the day, and it cannot be used if fewer than three uses of it remain for that day.|||Blood Of Fiends|0|0|0|0|0|1|0|Tiefling||||0|
Improved Fiendish Sorcery|General|Your skill with foul sorcery is even more potent than that of others of your race.|Fiendish sorcery racial trait, tiefling.||If you are a sorcerer and possess the Rakshasa bloodline (Pathfinder RPG Ultimate Magic 68) or Shadow bloodline (Pathfinder RPG Advanced Player's Guide 140), treat your Charisma score as 2 points higher for all sorcerer class abilities.|||Blood Of Fiends|0|0|0|0|0|1|0|Tiefling||||0|
Improved Fury of the Tainted|Combat|Your hatred for goodness is rivaled only by your ability to repel it.|Cha 13, Fury of the Tainted, base attack bonus +8, rage class feature, tiefling.|Fury of the Tainted|While raging, you gain spell resistance equal to 10 + your class level against spells with the good descriptor.|||Blood Of Fiends|0|0|0|0|0|1|0|Tiefling||||0|
Improved Grapple|Combat|You are skilled at grappling opponents.|Dex 13, Improved Unarmed Strike.|Improved Unarmed Strike|You do not provoke an attack of opportunity when performing a grapple combat maneuver. In addition, you receive a +2 bonus on checks made to grapple a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to grapple you.|You provoke an attack of opportunity when performing a grapple combat maneuver.||PFRPG Core|0|0|0|0|0|0|0|||||0|
Improved Grapple|Mythic|Your wrestling moves are difficult to counter.|Improved Grapple.|Improved Grapple|You gain a bonus equal to half your tier on checks to grapple, and to your CMD when an opponent tries to grapple you. These bonuses stack with those granted by Improved Grapple. Furthermore, you can make an attack of opportunity against any creature that attempts to grapple you, unless it also has this feat.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Improved Great Fortitude|General|You can draw upon an inner reserve to resist diseases, poisons, and other grievous harm.|Great Fortitude.|Great Fortitude|Once per day, you may reroll a Fortitude save. You must decide to use this ability before the results are revealed. You must take the second roll, even if it is worse.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Improved Impaling Critical|Combat|When you impale a target, you hinder its movement and can cause severe bleeding.|Impaling Critical, Critical Focus, Weapon Specialization with selected piercing melee weapon, base attack bonus +13.|Impaling Critical, Critical Focus, Weapon Specialization|While you are using Impaling Critical to impale an opponent, and you are still holding onto that weapon, that opponent must succeed at a grapple combat maneuver check against you to pull your weapon out. If you have let go of your weapon, the impaled opponent must spend a standard action to remove the weapon. Until the opponent pulls the weapon out, his speed in all modes is halved and his maneuverability, if any, is reduced by one step. When the weapon comes out, instead of dealing the damage normal for Impaling Critical, you can deal bleed damage equal to your weapon's damage dice result once per round at the start of that opponent's turn.|||Ultimate Combat|0|1|0|0|0|0|0|||||0|
Improved Improvisation|General|You are masterful in your improvisation.|Int 13, Fast Learner, Improvisation, human.|Fast Learner, Improvisation|Your nonprof iciency penalty with weapons, armor, and shields is halved. In addition, the bonus on all skill checks for skills you have no ranks in increases to +4 instead of +2.|||Advanced Race Guide|0|0|0|0|0|1|0|Human||||0|
Improved Infuse Weapon|General|When you infuse weapons, you may add an additional magical quality.|Infuse weapon special ability, Cha 27||When you infuse a weapon, you can add an additional +1 worth of weapon qualities to that weapon; this could either be used to increase a weapon infused to be a +1 weapon to be a +2 weapon, or to grant a weapon quality like flaming, defending, keen, or any other +1 quality from the Pathfinder RPG Core Rulebook. This effect occurs automatically as you infuse a weapon, but you may only do so to one weapon you wield at a time.||You may take this feat more than once; each time you do, the limit to the number of weapons on which you can simultaneously use Improved Infuse Weapon increases by 2.|Demons Revisited|0|0|0|0|0|0|0|||||0|
