name|type|category|requirement_race|requirement_subrace|requirement_class|requirement_alignment|requirement_other|requirement_faith|requirement_place|description|description_list|source
Old Before Your Time|Race||Dhampir|||||||Any creature trying to discern your true age must make a Perception or Sense Motive check opposed by your Bluff check; you gain a +5 trait bonus on This check. You gain a +2 trait bonus on Disguise checks if your disguise makes you look at least one age category older, and ignore the check penalty for disguising yourself as a different age category while doing so.||
Omen|Basic|Faith||||||||You gain a +1 trait bonus on Intimidate checks, and Intimidate is always a class skill for you. Once per day, you may attempt to demoralize an opponent as a swift action.||
On the Payroll|Campaign|Carrion Crown||||||||You begin play with an additional 150 gp in starting wealth.||
Ooze Defense|Race||Kobold|Black-Scaled||||||You begin play with three alkali flasks. These don't count against your starting character wealth.||
Open Hand and Mind|Race|||||||||You gain a +1 trait bonus on Acrobatics and Knowledge (religion) checks. If you have a ki pool, once per day as a swift action, you may channel your ki during an unarmed strike, gaining a +2 trait bonus on one damage roll. This additional damage is precision damage.||
Open-Minded Explorer|Regional|||||||||You gain a +1 trait bonus on Diplomacy checks. This bonus increases to +2 when you're speaking the racial or ethnic language of the target creature.||
Opener of Doors|Religion|||||||Doors, transitions, years||You gain a +2 trait bonus on Perception checks made to find and open secret doors.||
Operatic|Race|||||||||You gain a +1 trait bonus on Perform (sing) checks. Furthermore you have memorized the works of many sung in an ancient tongue (choose an ancient language), granting you a +2 trait bonus on Linguistics checks when trying to decipher the chosen language.||
Opportunistic|Religion|||||||Trickery, lust, revenge||You gain a +1 trait bonus on attacks of opportunity when using a dagger, sword, or whip.||
Optimistic Gambler|Campaign|Second Darkness||||||||Effects that grant you morale bonuses persist 1d4 rounds longer than they normally would as a result.||
Orc Impaler|Regional|||||||||You gain a +2 trait bonus on rolls to confirm critical hits made as part of a charge. This bonus increases to +3 if the critical hit is made against a creature with the orc subtype.||
Ordinary|Basic|Social||||||||You gain a + 4 trait bonus on Stealth checks whenever you attempt to hide in a crowd.||
Orphaned|Basic|Social||||||||You gain a +1 trait bonus on Survival checks, and Survival is always a class skill for you.||
Osirionologist|Regional||||||||Jungle|You gain a +1 trait bonus on Knowledge (engineering) and Knowledge (history) checks, and one of them is always a class skill for you. In addition, you may choose an ancient language as one of your bonus languages.||
Outcast|Race||Half-Orc|||||||You gain a +1 trait bonus on Survival skill checks, and Survival is always a class skill for you.||
Outcast's Intuition|Basic|Magic||||||||You gain a +1 trait bonus on Sense Motive checks, and Sense Motive is always a class skill for you. In addition, your caster level is treated as 1 level higher for the purposes of any attempts to dispel your magic.||
Outlander|Campaign|Rise of the Runelords||||||||Choose one of the following:|^Lore Seeker: You gain a +1 trait bonus on Knowledge (arcana) checks, and Knowledge (arcana) is always a class skill for you. If you cast arcane spells, pick three spells on your spell list. You are particularly adept at casting these spells, so they function at +1 caster level when you cast them, and their save DCs (if any) gain a +1 bonus.^Exile: You gain a +2 trait bonus on Initiative checks.^Missionary: You gain a +1 trait bonus on Knowledge (religion) checks, and Knowledge (religion) is always a class skill for you. If you cast divine spells, pick three spells on your spell list. You are particularly adept at casting these spells, so they function at +1 caster level when you cast them, and their save DCs (if any) gain a +1 bonus.|
Overwhelming Beauty|Basic|Magic||||||||The DC of your mind-affecting effects increases by 1 against creatures that have at least one of the same subtypes as you.||
Pain Artist|Race||Tiefling|||||||You gain a +2 trait bonus on Intimidate checks made against helpless creatures.||
Pain Is Pleasure|Religion|||||||Envy, pain, darkness, loss||You gain a +1 trait bonus on Fortitude and Will saves whenever you have fewer than half your maximum number of hit points.||
Partial Protege|Basic|Magic||||||||You gain a +1 trait bonus on Bluff checks and on Use Magic Device checks made to emulate a class feature.||
Passionate Believer|Regional|||||||||You gain a +1 trait bonus on saving throws against divine spells.||
Passionate Inertia|Basic|Social||||||||You gain a +2 trait bonus on Will saves to resist having your mind changed about something, but you take a –1 penalty on Will saves to resist temptation and compulsions you might reasonably be already inclined toward.||Pathfinder Player Companion: Champions of Corruption
Pathfinder's Focus|Basic|Magic||||||||You can select a magnetic compass for your arcane bond class feature; this compass is non-magical, but you can later spend 250 gp to upgrade it into a wayfinder. Choosing this trait allows you to upgrade this wayfinder to a variant or unique wayfinder per the normal rules for improving magic items. A bonded wayfinder must be held in your hand to grant the benefits of being a bonded object.||
Patient Calm|Basic|Faith||||||||Choose one Craft or Profession skill. Whenever you take 10 with that skill, determine the result as if you had rolled a 12 instead of a 10.||
Patient Optimist|Religion|||||||Farming, hunting, trade, family||You gain a +2 trait bonus on Diplomacy checks to influence hostile or unfriendly creatures, and if you fail at such an attempt you may retry it once.||
Pearl Diver|Race||Half-Elf|||||||You gain a +2 trait bonus on Perception checks while underwater and can hold your breath for a number of rounds equal to three times your Constitution score before you risk drowning.||
Pearl Diver|Regional|||||||||You gain a +1 trait bonus on Appraise and Swim checks.||
Peg Leg|Campaign|Skull & Shackles||||||||You gain a +1 trait bonus on Fortitude saves and a +1 trait bonus on damage rolls against sharks and other animals with the aquatic subtype.||
Perfect Servant|Race||Halfling|||||||You gain a +3 trait bonus on Diplomacy checks made to influence anyone with at least one level of Aristocrat.||
Perfectionist's Brew|Basic|Magic||||||||You gain a +2 trait bonus on all Craft (alchemy) checks and on Spellcraft checks made to brew potions.||
Performance Artist|Faction|||||||||You gain a +1 trait bonus on related Perform skill checks. This bonus increases to +5 when using that Perform skill to make money.||
Perpetual Companion|Basic|Faith||||||||You gain a +2 trait bonus on all saving throws against fear effects whenever your eidolon is within 30 feet.||
Perseverance|Regional||Dwarf||||||Mountains|When you have more than 1 Will saving throw to overcome an effect (such as greater command, hold person, or by using the good fortune ability of the Luck domain), you receive a +3 trait bonus on the extra Will saving throws against that effect.||
Persuasive|Race||Elf|||||||You gain a +1 trait bonus on Diplomacy checks. This bonus increases to +3 against creatures with the elf subtype.||Pathfinder Player Companion: People of the Stars
Pesh Addict|Regional||||||||Desert|You start with half of the normal starting cash but you gain a +1 trait bonus on Bluff, Knowledge (local), and Sense Motive checks. One of these skills (your choice) is always a class skill for you.||
Pesh Dealer|Regional|||||||||You gain a +1 trait bonus on Sleight of Hand checks, and Sleight of Hand is always a class skill for you.||
Pillager|Basic|Combat||||||||You gain a +1 trait bonus on combat maneuver checks to perform disarm and steal combat maneuvers.||
Pioneer|Campaign|Kingmaker||||||||You begin play with a horse. Choose one of the following skills: Climb, Handle Animal, Knowledge (nature), Perception, Ride, Survival, or Swim—you gain a +1 trait bonus on this skill.||
Pirate|Regional|||||||||You gain a +1 trait bonus on Knowledge (geography) checks and Profession (sailor) checks, and one of these skills becomes a class skill for you.||
Plainsman|Regional|||||||||You gain a +1 trait bonus on all Knowledge (geography) and Survival checks regarding the plains.||
Planar Historian (Plane of Water)|Regional|||||||||You gain a +2 trait bonus on Knowledge (planes) checks to identify outsiders with the water subtype. In addition, you treat your caster level as 1 higher when casting conjuration (summoning) spells to summon outsiders with the water subtype.||Pathfinder Player Companion: Blood of the Elements
